passengerid,survived,class,sex,age,sibsp,parch,ticket,fare,cabin,embarked,female
592,,1,female,52.0,1,0,36947,78.2667,D20,C,1
600,,1,male,49.0,1,0,PC 17485,56.9292,A20,C,0
610,,1,female,40.0,0,0,PC 17582,153.4625,C125,S,1
619,,2,female,4.0,2,1,230136,39.0,F4,S,1
622,,1,male,42.0,1,0,11753,52.5542,D19,S,0
626,,1,male,61.0,0,0,36963,32.3208,D50,S,0
628,,1,female,21.0,0,0,13502,77.9583,D9,S,1
631,,1,male,80.0,0,0,27042,30.0,A23,S,0
633,,1,male,32.0,0,0,13214,30.5,B50,C,0
642,,1,female,24.0,0,0,PC 17477,69.3,B35,C,1
646,,1,male,48.0,1,0,PC 17572,76.7292,D33,C,0
648,,1,male,56.0,0,0,13213,35.5,A26,C,0
660,,1,male,58.0,0,2,35273,113.275,D48,C,0
663,,1,male,47.0,0,0,5727,25.5875,E58,S,0
672,,1,male,31.0,1,0,F.C. 12750,52.0,B71,S,0
680,,1,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,0
682,,1,male,27.0,0,0,PC 17572,76.7292,D49,C,0
690,,1,female,15.0,0,1,24160,211.3375,B5,S,1
691,,1,male,31.0,1,0,17474,57.0,B20,S,0
699,,1,male,49.0,1,1,17421,110.8833,C68,C,0
700,,3,male,42.0,0,0,348121,7.65,F G63,S,0
701,,1,female,18.0,1,0,PC 17757,227.525,C62 C64,C,1
702,,1,male,35.0,0,0,PC 17475,26.2875,E24,S,0
708,,1,male,42.0,0,0,PC 17476,26.2875,E24,S,0
711,,1,female,24.0,0,0,PC 17482,49.5042,C90,C,1
713,,1,male,48.0,1,0,19996,52.0,C126,S,0
716,,3,male,19.0,0,0,348124,7.65,F G73,S,0
717,,1,female,38.0,0,0,PC 17757,227.525,C45,C,1
718,,2,female,27.0,0,0,34218,10.5,E101,S,1
725,,1,male,27.0,1,0,113806,53.1,E8,S,0
731,,1,female,29.0,0,0,24160,211.3375,B5,S,1
738,,1,male,35.0,0,0,PC 17755,512.3292,B101,C,0
742,,1,male,36.0,1,0,19877,78.85,C46,S,0
743,,1,female,21.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C,1
746,,1,male,70.0,1,1,WE/P 5735,71.0,B22,S,0
749,,1,male,19.0,1,0,113773,53.1,D30,S,0
752,,3,male,6.0,0,1,392096,12.475,E121,S,0
760,,1,female,33.0,0,0,110152,86.5,B77,S,1
764,,1,female,36.0,1,2,113760,120.0,B96 B98,S,1
766,,1,female,51.0,1,0,13502,77.9583,D11,S,1
773,,2,female,57.0,0,0,S.O./P.P. 3,10.5,E77,S,1
780,,1,female,43.0,0,1,24160,211.3375,B3,S,1
782,,1,female,17.0,1,0,17474,57.0,B20,S,1
783,,1,male,29.0,0,0,113501,30.0,D6,S,0
790,,1,male,46.0,0,0,PC 17593,79.2,B82 B84,C,0
797,,1,female,49.0,0,0,17465,25.9292,D17,S,1
803,,1,male,11.0,1,2,113760,120.0,B96 B98,S,0
807,,1,male,39.0,0,0,112050,0.0,A36,S,0
810,,1,female,33.0,1,0,113806,53.1,E8,S,1
821,,1,female,52.0,1,1,12749,93.5,B69,S,1
824,,3,female,27.0,0,1,392096,12.475,E121,S,1
836,,1,female,39.0,1,1,PC 17756,83.1583,E49,C,1
854,,1,female,16.0,0,1,PC 17592,39.4,D28,S,1
858,,1,male,51.0,0,0,113055,26.55,E17,S,0
863,,1,female,48.0,0,0,17466,25.9292,D17,S,1
868,,1,male,31.0,0,0,PC 17590,50.4958,A24,S,0
872,,1,female,47.0,1,1,11751,52.5542,D35,S,1
873,,1,male,33.0,0,0,695,5.0,B51 B53 B55,S,0
880,,1,female,56.0,0,1,11767,83.1583,C50,C,1
888,,1,female,19.0,0,0,112053,30.0,B42,S,1
890,,1,male,26.0,0,0,111369,30.0,C148,C,0
